horizontalCube1Timestamp;horizontalCube1XPos;horizontalCube1YPos;horizontalCube1newCorr;horizontalCube1smoothCorr
7.315;-2;0.3396552;;
7.316;-2;0.3397318;;
7.316;-2;0.3397439;;
7.317;-2;0.3397594;;
7.336;-2;0.3840417;;
7.336;-2;0.3840417;;
7.338;-2;0.3840417;;
7.357;-2;0.4069804;;
7.357;-2;0.4071482;;
7.358;-2;0.4072639;;
7.359;-2;0.4072808;;
7.379;-2;0.4730225;;
7.38;-2;0.473666;;
7.381;-2;0.4738526;;
7.4011715;;;0.477703216473632;0.0504922269830228
7.402;-2;0.5188769;;
7.402;-2;0.5183563;;
7.403;-2;0.5183793;;
7.404;-2;0.5188769;;
7.424;-2;0.5629951;;
7.425;-2;0.5629951;;
7.425;-2;0.5629951;;
7.426;-2;0.5629951;;
7.446;-2;0.6076959;;
7.447;-2;0.6076959;;
7.448;-2;0.6076959;;
7.468;-2;0.6518341;;
7.469;-2;0.6522825;;
7.47;-2;0.6523545;;
7.47;-2;0.6523845;;
7.479;-2;0.6523845;;
7.49;-2;0.6944802;;
7.491;-2;0.6958056;;
7.492;-2;0.6973178;;
7.511;-2;0.7198089;;
7.512;-2;0.7198089;;
7.513;-2;0.7198089;;
7.514;-2;0.7198089;;
7.533;-2;0.7633641;;
7.533;-2;0.7636672;;
7.534;-2;0.7638999;;
7.553;-2;0.8084539;;
7.554;-2;0.8089404;;
7.555;-2;0.8090109;;
7.556;-2;0.8090323;;
7.575;-2;0.853473;;
7.576;-2;0.853473;;
7.577;-2;0.853473;;
7.577;-2;0.853473;;
7.596;-2;0.8975983;;
7.596;-2;0.8979706;;
7.597;-2;0.8981379;;
7.597;-2;0.8981664;;
7.617;-2;0.9422213;;
7.618;-2;0.9426627;;
7.619;-2;0.9427512;;
7.639;-2;0.9874012;;
7.639;-2;0.9875019;;
7.64;-2;0.9878834;;
7.66;-2;1.031239;;
7.661;-2;1.031931;;
7.662;-2;1.032333;;
7.662;-2;1.032333;;
7.682;-2;1.076171;;
7.683;-2;1.076578;;
7.684;-2;1.076677;;
7.7024723;;;0.489765961281658;0.329811930252805
7.703;-2;1.120529;;
7.705;-2;1.121514;;
7.705;-2;1.121582;;
7.725;-2;1.165772;;
7.726;-2;1.166229;;
7.727;-2;1.166303;;
7.728;-2;1.166318;;
7.748;-2;1.211223;;
7.748;-2;1.211223;;
7.749;-2;1.211223;;
7.75;-2;1.211223;;
7.75;-2;1.211223;;
7.769;-2;1.233015;;
7.77;-2;1.25231;;
7.771;-2;1.255232;;
7.792;-2;1.29982;;
7.793;-2;1.300125;;
7.794;-2;1.300251;;
7.795;-2;1.300322;;
7.815;-2;1.344797;;
7.816;-2;1.345245;;
7.817;-2;1.345319;;
7.817;-2;1.345354;;
7.837;-2;1.389764;;
7.838;-2;1.389764;;
7.839;-2;1.389764;;
7.84;-2;1.389764;;
7.86;-2;1.434012;;
7.861;-2;1.434408;;
7.862;-2;1.43452;;
7.862;-2;1.434536;;
7.863;-2;1.434555;;
7.882;-2;1.478271;;
7.883;-2;1.478702;;
7.884;-2;1.478816;;
7.911;-2;1.500786;;
7.912;-2;1.539556;;
7.913;-2;1.539556;;
7.913;-2;1.539556;;
7.926;-2;1.567762;;
